MovieId,Number,VideoPath,MissingFields,ProtectedFields,ProviderPlan,Status,FailureCategory,Attempts,ElapsedMilliseconds,AddedFields,Reason
6,"FC2-3061625","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-3061625+五星+无码+白虎+高颜值.mp4","Actors|Series|Director","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
17,"FC2-2714057","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-2714057+五星+好身材大长腿+强制+爆操.mp4","Actors|Series|Director","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
30,"FC2-2792538","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-2792538+三星+强制.mp4","Actors|Genres|Series|Director","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
31,"FSOG-022","Z:\bcbcbcbc\ca-ES\data\已命名电影\FSOG-022+制服+国产+好身材大长腿.mp4","Actors|Genres|Poster|Fanart|NFO|Description|Series|Director|Studio|ReleaseDate","","JavBus|MetaTube|MDC-NG","Pending","",0,0,"","只请求当前缺失字段；执行前会再次校验。"
34,"FZ-65","Z:\bcbcbcbc\ca-ES\data\已命名电影\FZ-65+五星+娇小可爱清纯+无码+高颜值.vob","Genres|Description|Director","","JavBus|MetaTube|MDC-NG","Pending","",0,0,"","只请求当前缺失字段；执行前会再次校验。"
35,"FSOG-013","Z:\bcbcbcbc\ca-ES\data\已命名电影\FSOG-013+娇小可爱清纯+无码.mp4","Actors|Genres|Poster|Fanart|NFO|Description|Series|Director|Studio|ReleaseDate","","JavBus|MetaTube|MDC-NG","Pending","",0,0,"","只请求当前缺失字段；执行前会再次校验。"
41,"AAAAAAAEBOD-355","Z:\bcbcbcbc\ca-ES\data\已命名电影\AAAAAAAEBOD-355+四星+持续输出.mp4","Actors|Genres|Poster|Fanart|NFO|Description|Series|Director|Studio|ReleaseDate","","JavBus|MetaTube|MDC-NG","Pending","",0,0,"","只请求当前缺失字段；执行前会再次校验。"
43,"IMG-0494","Z:\bcbcbcbc\ca-ES\data\已命名电影\IMG-0494+BCBCBC+国产+爆操+短片.mp4","Actors|Genres|Poster|Fanart|NFO|Description|Series|Director|Studio|ReleaseDate","","JavBus|MetaTube|MDC-NG","Pending","",0,0,"","只请求当前缺失字段；执行前会再次校验。"
44,"IMG-0501","Z:\bcbcbcbc\ca-ES\data\已命名电影\IMG-0501+四星+娇小可爱清纯.mp4","Actors|Genres|Poster|Fanart|NFO|Description|Series|Director|Studio|ReleaseDate","","JavBus|MetaTube|MDC-NG","Pending","",0,0,"","只请求当前缺失字段；执行前会再次校验。"
46,"061315_097","Z:\bcbcbcbc\ca-ES\data\已命名电影\061315_097+三星+无码.mp4","NFO|Description|Series|Director","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
47,"072315_120","Z:\bcbcbcbc\ca-ES\data\已命名电影\072315_120+三星+无码.mp4","NFO|Description|Series|Director","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
48,"FC2-1174749","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-1174749+好身材大长腿.mp4","NFO|Series|Director|Studio|ReleaseDate","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
49,"FC2-1217586","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-1217586+四星+好身材大长腿+娇小可爱清纯+无码.mp4","NFO|Series|Director|Studio|ReleaseDate","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
57,"FSOG-015","Z:\bcbcbcbc\ca-ES\data\已命名电影\FSOG-015+五星+国产+好身材大长腿+娇小可爱清纯+白虎+高颜值.mp4","Actors|Genres|Poster|Fanart|NFO|Description|Series|Director|Studio|ReleaseDate","","JavBus|MetaTube|MDC-NG","Pending","",0,0,"","只请求当前缺失字段；执行前会再次校验。"
60,"FC2-1451594","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-1451594+三星+无码.mp4","Actors|Series|Director","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
61,"FC2-1849599","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-1849599+无码.mp4","Actors|Series|Director","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
77,"FC2-2802445","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-2802445+三星+无码+高颜值.mp4","Actors|Genres|Poster|Fanart|Series|Director","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
81,"AOZ-314","Z:\bcbcbcbc\ca-ES\data\已命名电影\AOZ-314-四星+强制.mp4","Actors|Series|Director","","JavBus|MetaTube|MDC-NG","Pending","",0,0,"","只请求当前缺失字段；执行前会再次校验。"
82,"FC2-1539556","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-1539556+五星+无码+高颜值.mp4","Actors|Genres|Series|Director","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
83,"FC2-1202062","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-1202062+五星+娇小可爱清纯+无码+高颜值.mp4","Actors|Genres|Poster|Fanart|NFO|Description|Series|Director|Studio|ReleaseDate","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
84,"FC2-1202075","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-1202075+五星+四星+娇小可爱清纯+无码+高颜值.mp4","NFO|Series|Director|Studio|ReleaseDate","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
85,"FC2-1262472","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-1262472+五星+娇小可爱清纯+无码+高颜值.mp4","NFO|Series|Director|Studio|ReleaseDate","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
86,"FC2-3080084","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-3080084-丝袜+制服+四星.mp4","Actors|Series|Director","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
90,"FC2-1940513","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-1940513-四星+多人+无码+白虎.mp4","NFO|Series|Director|Studio|ReleaseDate","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
91,"COM-83306615","Z:\bcbcbcbc\ca-ES\data\已命名电影\COM-83306615+0+高颜值.mp4","Actors|Genres|Poster|Fanart|NFO|Description|Series|Director|Studio|ReleaseDate","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
93,"052615_086","Z:\bcbcbcbc\ca-ES\data\已命名电影\052615_086+三星+无码+白虎.mp4","NFO|Description|Series|Director","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
97,"SIRO-3508","Z:\bcbcbcbc\ca-ES\data\已命名电影\SIRO-3508+高颜值.mp4","Poster|Fanart|Director","","MetaTube|JavBus|MDC-NG","Pending","",0,0,"","只请求当前缺失字段；执行前会再次校验。"
98,"FC2-2020","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-2020-外国+大屌.mp4","NFO|Series|Director|Studio|ReleaseDate","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
99,"FC2-880652","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-880652+无码+高颜值-1.mp4","NFO|Description|Series|Director","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
109,"FC2-1186761","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-1186761+三星+无码.mp4","NFO|Series|Director|Studio|ReleaseDate","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
114,"FSOG-051","Z:\bcbcbcbc\ca-ES\data\已命名电影\FSOG-051+不露脸+国产+无码.mp4","Actors|Genres|Poster|Fanart|NFO|Description|Series|Director|Studio|ReleaseDate","","JavBus|MetaTube|MDC-NG","Pending","",0,0,"","只请求当前缺失字段；执行前会再次校验。"
119,"FSOG-027","Z:\bcbcbcbc\ca-ES\data\已命名电影\FSOG-027+五星+娇小可爱清纯+高颜值.mp4","Actors|Genres|Poster|Fanart|NFO|Description|Series|Director|Studio|ReleaseDate","","JavBus|MetaTube|MDC-NG","Pending","",0,0,"","只请求当前缺失字段；执行前会再次校验。"
124,"AAAAAAAAASTARS-638","Z:\bcbcbcbc\ca-ES\data\已命名电影\AAAAAAAAASTARS-638+五星+娇小可爱清纯+高颜值.mp4","Actors|Genres|Poster|Fanart|NFO|Description|Series|Director|Studio|ReleaseDate","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
126,"FC2-1864525","Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-1864525+不露脸+五星+国产+娇小可爱清纯.mp4","Actors|Genres|Poster|Fanart|Series|Director","","","Skipped","CodeInvalid",0,0,"","番号识别置信度低于自动联网阈值。"
127,"STRS-210","Z:\bcbcbcbc\ca-ES\data\已命名电影\STRS-210+0+四星+高颜值.mp4","Actors|Genres|Poster|Fanart|NFO|Description|Series|Director|Studio|ReleaseDate","","JavBus|MetaTube|MDC-NG","Pending","",0,0,"","只请求当前缺失字段；执行前会再次校验。"
130,"OCS-020","Z:\bcbcbcbc\ca-ES\data\已命名电影\OCS-020+三星+好身材大长腿+高颜值.mp4","Actors|Genres|Poster|Fanart|NFO|Description|Series|Director|Studio|ReleaseDate","","JavBus|MetaTube|MDC-NG","Pending","",0,0,"","只请求当前缺失字段；执行前会再次校验。"
138,"BP-522","Z:\bcbcbcbc\ca-ES\data\已命名电影\BP-522+0+四星+高颜值.mpg","Actors|Genres|Poster|Fanart|NFO|Description|Series|Director|Studio|ReleaseDate","","JavBus|MetaTube|MDC-NG","Pending","",0,0,"","只请求当前缺失字段；执行前会再次校验。"
140,"CWD-278","Z:\bcbcbcbc\ca-ES\data\已命名电影\CWD-278+0+四星+娇小可爱清纯.mp4","Actors|Genres|Poster|Fanart|NFO|Description|Series|Director|Studio|ReleaseDate","","JavBus|MetaTube|MDC-NG","Pending","",0,0,"","只请求当前缺失字段；执行前会再次校验。"
