AuditSnapshotAt,MovieId,LibraryId,LibraryName,LibraryType,OriginalFilePath,OriginalFileName,MediaExistsState,DetectedNumber,DetectedNumberSource,NormalizedNumber,AuditReidentifiedNumber,AuditMatchedRule,AuditConfidence,AuditPartIndex,AuditWarnings,NumberConsistency,HasTitle,HasReleaseDate,HasStudio,StudioCount,HasSeries,SeriesCount,HasDescription,HasDirector,DirectorCount,HasActors,ActorCount,HasTags,TagCount,HasMovieTags,MovieTagCount,OfficialMovieTagCount,HasPosterDb,PosterRecordCount,HasPosterFile,PosterExistingFileCount,HasFanartDb,FanartRecordCount,HasFanartFile,FanartExistingFileCount,HasPreviewDb,PreviewRecordCount,HasPreviewFile,PreviewExistingFileCount,HasScreenshotDb,ScreenshotRecordCount,HasScreenshotFile,ScreenshotExistingFileCount,HasNfoState,NfoPath,NfoFileExists,HasImageDb,ImageRecordCount,ExistingImageFileCount,MissingImageFileCount,UnregisteredPhysicalResources,UnregisteredMissingResources,CurrentMetadataHealth,DashboardComplete,ScrapeStatus,LatestSyncTaskId,LatestSyncTaskEvidenceBackup,LatestSyncFinalStatus,LatestSuccessfulProvider,LatestFailedProvider,LatestSyncAt,MdcNgState,MetaTubeState,JavBusState,MdcPathMappingFailure,DatabaseMergeSuccess,DatabaseAddedFields,ProviderReturnSummary,ProviderMergeSummary,MetadataMergeSummary,TaskError,MainReasonCode,MainReason,SecondaryReasons,Evidence,RecommendedAction
2026-07-24T21:10:52+08:00,1,5,电影,Standard,Z:\bcbcbcbc\ca-ES\data\已命名电影\GAMS-020+三星+紧身裤.mp4,GAMS-020+三星+紧身裤.mp4,Present,GAMS-020,AuditReevaluation;NotPersisted,GAMS-020,GAMS-020,StandardSeparated,0.97,,,Match,Yes,Yes,Yes,3,Yes,1,Yes,Yes,1,Yes,2,Yes,17,Yes,3,3,Yes,2,Yes,2,Yes,3,Yes,3,Yes,30,Yes,30,No,0,No,0,Yes,Z:\bcbcbcbc\ca-ES\LocalMediaManager\NFO\GAMS-020\GAMS-020.nfo,Yes,Yes,35,35,0,Poster,,Complete,Yes,complete,11597,upgrade_20260724_002606,Completed,MetaTube;JavBus,MDC-NG,2026-07-23T14:22:14.7713597+00:00,Failed,Success,Success,Yes,Yes,Fanart;Poster;Preview;标签,[MetaTube] 返回：有 12 项：标题、番号、日期、时长、导演、厂商、标签(7)、演员(1)、Poster、Fanart、Preview(15)、简介；空：系列、Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回) | [JavBus] 返回：有 9 项：标题、番号、日期、时长、导演、厂商、标签(10)、演员(1)、Poster；空：系列、Fanart、Preview、Screenshot、简介、评分、NFO(由同步流程生成，Provider 不直接返回),[MetaTube] 补全：有 12 项：标题、番号、日期、时长、导演、厂商、标签(7)、演员(1)、Poster、Fanart、Preview(15)、简介；空：系列、Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回) | [JavBus] 补全：标签(+9)、演员头像(+1),[Metadata Merge] 最终字段：有 12 项：标题、番号、日期、时长、导演、厂商、标签(16)、演员(1)、Poster、Fanart、Preview(15)、简介；空：系列、Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回),,OK,按当前 Standard 数据库规则完整,,物理文件状态另列,无需重新同步
2026-07-24T21:10:52+08:00,2,5,电影,Standard,Z:\bcbcbcbc\ca-ES\data\已命名电影\TBL-001+四星+持续输出+爆操.wmv,TBL-001+四星+持续输出+爆操.wmv,Present,TBL-001,AuditReevaluation;NotPersisted,TBL-001,TBL-001,StandardSeparated,0.97,,,Match,Yes,Yes,Yes,3,Yes,2,Yes,No,0,Yes,2,Yes,10,Yes,4,4,Yes,2,Yes,2,Yes,3,Yes,3,Yes,60,Yes,60,No,0,No,0,Yes,Z:\bcbcbcbc\ca-ES\LocalMediaManager\NFO\TBL-001\TBL-001.nfo,Yes,Yes,65,65,0,Poster,,Complete,Yes,complete,11588,upgrade_20260724_002606,Completed,MetaTube;JavBus,MDC-NG,2026-07-23T14:21:37.8839261+00:00,Failed,Success,Success,Yes,Yes,Fanart;Poster;Preview;标签,[MetaTube] 返回：有 12 项：标题、番号、日期、时长、厂商、系列、标签(4)、演员(1)、Poster、Fanart、Preview(20)、简介；空：导演、Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回) | [JavBus] 返回：有 10 项：标题、番号、日期、时长、厂商、系列、标签(6)、演员(1)、Poster、Preview(20)；空：导演、Fanart、Screenshot、简介、评分、NFO(由同步流程生成，Provider 不直接返回),[MetaTube] 补全：有 12 项：标题、番号、日期、时长、厂商、系列、标签(4)、演员(1)、Poster、Fanart、Preview(20)、简介；空：导演、Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回) | [JavBus] 补全：标签(+5)、Preview(+20)、演员头像(+1),[Metadata Merge] 最终字段：有 12 项：标题、番号、日期、时长、厂商、系列、标签(9)、演员(1)、Poster、Fanart、Preview(40)、简介；空：导演、Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回),,OK,按当前 Standard 数据库规则完整,,物理文件状态另列,无需重新同步
2026-07-24T21:10:52+08:00,3,5,电影,Standard,Z:\bcbcbcbc\ca-ES\data\已命名电影\MIDV-176+制服+四星+强制.mp4,MIDV-176+制服+四星+强制.mp4,Present,MIDV-176,AuditReevaluation;NotPersisted,MIDV-176,MIDV-176,StandardSeparated,0.97,,,Match,Yes,Yes,Yes,2,Yes,1,Yes,Yes,1,Yes,1,Yes,19,Yes,4,4,Yes,2,Yes,2,Yes,3,Yes,3,Yes,30,Yes,30,No,0,No,0,Yes,Z:\bcbcbcbc\ca-ES\LocalMediaManager\NFO\MIDV-176\MIDV-176.nfo,Yes,Yes,35,35,0,Poster,,Complete,Yes,complete,11500,upgrade_20260724_002606,Completed,MetaTube;JavBus,MDC-NG,2026-07-23T14:15:11.7102493+00:00,Failed,Success,Success,Yes,Yes,Fanart;Preview;标签,[MetaTube] 返回：有 13 项：标题、番号、日期、时长、导演、厂商、系列、标签(9)、演员(1)、Poster、Fanart、Preview(10)、简介；空：Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回) | [JavBus] 返回：有 11 项：标题、番号、日期、时长、导演、厂商、系列、标签(11)、演员(1)、Poster、Preview(10)；空：Fanart、Screenshot、简介、评分、NFO(由同步流程生成，Provider 不直接返回),[MetaTube] 补全：有 13 项：标题、番号、日期、时长、导演、厂商、系列、标签(9)、演员(1)、Poster、Fanart、Preview(10)、简介；空：Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回) | [JavBus] 补全：标签(+9)、Preview(+10)、演员头像(+1),[Metadata Merge] 最终字段：有 13 项：标题、番号、日期、时长、导演、厂商、系列、标签(18)、演员(1)、Poster、Fanart、Preview(20)、简介；空：Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回),,OK,按当前 Standard 数据库规则完整,,物理文件状态另列,无需重新同步
2026-07-24T21:10:52+08:00,4,5,电影,Standard,Z:\bcbcbcbc\ca-ES\data\已命名电影\MIDV-065C+制服+持续输出.mp4,MIDV-065C+制服+持续输出.mp4,Present,MIDV-065,AuditReevaluation;NotPersisted,MIDV-065C,MIDV-065,StandardSeparated + EditionSuffix,0.97,,,Mismatch,Yes,Yes,Yes,2,No,0,Yes,Yes,1,Yes,1,Yes,18,Yes,3,3,Yes,2,Yes,2,Yes,2,Yes,2,Yes,30,Yes,30,No,0,No,0,Yes,Z:\bcbcbcbc\ca-ES\LocalMediaManager\NFO\MIDV-065\MIDV-065.nfo,Yes,Yes,34,34,0,,,Complete,Yes,complete,10413,upgrade_20260723_001654,Completed,,,2026-07-22T03:21:13.5073584+00:00,NoRetainedDetailedEvidence,NoRetainedDetailedEvidence,NoRetainedDetailedEvidence,No,No,,,,,,Q,持久化番号与当前规则库重识别结果不一致,,Movies.Code=MIDV-065C; audit=MIDV-065; confidence=0.97,先修正番号/媒体库归属，再决定是否定向同步
2026-07-24T21:10:52+08:00,5,5,电影,Standard,Z:\bcbcbcbc\ca-ES\data\已命名电影\SSNI-248+三星+娇小可爱清纯.mp4,SSNI-248+三星+娇小可爱清纯.mp4,Present,SSNI-248,AuditReevaluation;NotPersisted,SSNI-248,SSNI-248,StandardSeparated,0.97,,,Match,Yes,Yes,Yes,2,Yes,1,No,Yes,1,Yes,1,Yes,18,Yes,3,3,Yes,2,Yes,2,Yes,3,Yes,3,Yes,20,Yes,20,No,0,No,0,Yes,Z:\bcbcbcbc\ca-ES\LocalMediaManager\NFO\SSNI-248\SSNI-248.nfo,Yes,Yes,25,25,0,Poster,,Incomplete,No,complete,11615,upgrade_20260724_002606,Completed,MetaTube;JavBus,MDC-NG,2026-07-23T14:23:42.4946716+00:00,Failed,Success,Success,Yes,Yes,Fanart;Poster;Preview,[MetaTube] 返回：有 12 项：标题、番号、日期、时长、导演、厂商、系列、标签(8)、演员(1)、Poster、Fanart、Preview(10)；空：Screenshot、简介、评分、NFO(由同步流程生成，Provider 不直接返回) | [JavBus] 返回：有 11 项：标题、番号、日期、时长、导演、厂商、系列、标签(10)、演员(1)、Poster、Preview(10)；空：Fanart、Screenshot、简介、评分、NFO(由同步流程生成，Provider 不直接返回),[MetaTube] 补全：有 12 项：标题、番号、日期、时长、导演、厂商、系列、标签(8)、演员(1)、Poster、Fanart、Preview(10)；空：Screenshot、简介、评分、NFO(由同步流程生成，Provider 不直接返回) | [JavBus] 补全：标签(+9)、演员头像(+1),[Metadata Merge] 最终字段：有 12 项：标题、番号、日期、时长、导演、厂商、系列、标签(17)、演员(1)、Poster、Fanart、Preview(10)；空：Screenshot、简介、评分、NFO(由同步流程生成，Provider 不直接返回),,R,任务显示完成或部分完成，但 Standard 必填字段仍不完整,,Task=11615; Status=Completed,仅对该影片定向补同步或复核 Provider
2026-07-24T21:10:52+08:00,6,5,电影,Standard,Z:\bcbcbcbc\ca-ES\data\已命名电影\FC2-3061625+五星+无码+白虎+高颜值.mp4,FC2-3061625+五星+无码+白虎+高颜值.mp4,Present,,AuditReevaluation;NotPersisted,FC2-3061625,,,0.0,,NoCandidate,AuditNoCandidate,Yes,Yes,Yes,1,No,0,Yes,No,0,No,0,Yes,1,Yes,5,5,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,Yes,Z:\bcbcbcbc\ca-ES\LocalMediaManager\NFO\FC2-3061625\FC2-3061625.nfo,Yes,Yes,2,2,0,Poster,,Incomplete,No,complete,11591,upgrade_20260724_002606,Completed,MetaTube,MDC-NG;JavBus,2026-07-23T14:21:12.5839036+00:00,Failed,Success,Failed,Yes,Yes,,[MetaTube] 返回：有 9 项：标题、番号、日期、时长、厂商、标签(1)、Poster、Fanart、简介；空：导演、系列、演员、Preview、Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回),[MetaTube] 补全：有 9 项：标题、番号、日期、时长、厂商、标签(1)、Poster、Fanart、简介；空：导演、系列、演员、Preview、Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回),[Metadata Merge] 最终字段：有 9 项：标题、番号、日期、时长、厂商、标签(1)、Poster、Fanart、简介；空：导演、系列、演员、Preview、Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回),,H,Provider/Merge 最终结果中相应字段为空,R:任务显示完成或部分完成，但 Standard 必填字段仍不完整,当前缺失=演员,仅对该影片定向补同步或复核 Provider
2026-07-24T21:10:52+08:00,7,5,电影,Standard,Z:\bcbcbcbc\ca-ES\data\已命名电影\MEYD-779+五星+持续输出+紧身裤+高颜值.mp4,MEYD-779+五星+持续输出+紧身裤+高颜值.mp4,Present,MEYD-779,AuditReevaluation;NotPersisted,MEYD-779,MEYD-779,StandardSeparated,0.97,,,Match,Yes,Yes,Yes,3,No,0,Yes,Yes,1,Yes,2,Yes,17,Yes,5,5,Yes,2,Yes,2,Yes,3,Yes,3,Yes,20,Yes,20,No,0,No,0,Yes,Z:\bcbcbcbc\ca-ES\LocalMediaManager\NFO\MEYD-779\MEYD-779.nfo,Yes,Yes,25,25,0,Poster;Preview,,Complete,Yes,complete,11593,upgrade_20260724_002606,Completed,MetaTube;JavBus,MDC-NG,2026-07-23T14:21:40.6741365+00:00,Failed,Success,Success,Yes,Yes,Fanart;Poster;Preview;标签,[MetaTube] 返回：有 12 项：标题、番号、日期、时长、导演、厂商、标签(7)、演员(1)、Poster、Fanart、Preview(10)、简介；空：系列、Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回) | [JavBus] 返回：有 10 项：标题、番号、日期、时长、导演、厂商、标签(9)、演员(1)、Poster、Preview(10)；空：系列、Fanart、Screenshot、简介、评分、NFO(由同步流程生成，Provider 不直接返回),[MetaTube] 补全：有 12 项：标题、番号、日期、时长、导演、厂商、标签(7)、演员(1)、Poster、Fanart、Preview(10)、简介；空：系列、Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回) | [JavBus] 补全：标签(+9)、Preview(+10)、演员头像(+1),[Metadata Merge] 最终字段：有 12 项：标题、番号、日期、时长、导演、厂商、标签(16)、演员(1)、Poster、Fanart、Preview(20)、简介；空：系列、Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回),,OK,按当前 Standard 数据库规则完整,,物理文件状态另列,无需重新同步
2026-07-24T21:10:52+08:00,8,5,电影,Standard,Z:\bcbcbcbc\ca-ES\data\已命名电影\DLDSS-104+五星+紧身裤.mp4,DLDSS-104+五星+紧身裤.mp4,Present,DLDSS-104,AuditReevaluation;NotPersisted,DLDSS-104,DLDSS-104,StandardSeparated,0.97,,,Match,Yes,Yes,Yes,2,Yes,1,Yes,Yes,1,Yes,1,Yes,14,Yes,3,3,Yes,2,Yes,2,Yes,3,Yes,3,Yes,30,Yes,30,No,0,No,0,Yes,Z:\bcbcbcbc\ca-ES\LocalMediaManager\NFO\DLDSS-104\DLDSS-104.nfo,Yes,Yes,35,35,0,Poster,,Complete,Yes,complete,11631,upgrade_20260724_002606,Completed,MetaTube;JavBus,MDC-NG,2026-07-23T14:24:43.5170108+00:00,Failed,Success,Success,Yes,Yes,Fanart;Poster;Preview;标签,[MetaTube] 返回：有 13 项：标题、番号、日期、时长、导演、厂商、系列、标签(9)、演员(1)、Poster、Fanart、Preview(10)、简介；空：Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回) | [JavBus] 返回：有 10 项：标题、番号、日期、时长、导演、厂商、标签(4)、演员(1)、Poster、Preview(10)；空：系列、Fanart、Screenshot、简介、评分、NFO(由同步流程生成，Provider 不直接返回),[MetaTube] 补全：有 13 项：标题、番号、日期、时长、导演、厂商、系列、标签(9)、演员(1)、Poster、Fanart、Preview(10)、简介；空：Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回) | [JavBus] 补全：标签(+4)、Preview(+10),[Metadata Merge] 最终字段：有 13 项：标题、番号、日期、时长、导演、厂商、系列、标签(13)、演员(1)、Poster、Fanart、Preview(20)、简介；空：Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回),,OK,按当前 Standard 数据库规则完整,,物理文件状态另列,无需重新同步
2026-07-24T21:10:52+08:00,9,5,电影,Standard,Z:\bcbcbcbc\ca-ES\data\已命名电影\KAWD-693+五星+持续输出+无码+白虎+高颜值.mp4,KAWD-693+五星+持续输出+无码+白虎+高颜值.mp4,Present,KAWD-693,AuditReevaluation;NotPersisted,KAWD-693,KAWD-693,StandardSeparated,0.97,,,Match,Yes,Yes,Yes,2,No,0,Yes,Yes,1,Yes,1,Yes,16,Yes,6,6,Yes,2,Yes,2,Yes,3,Yes,3,Yes,20,Yes,20,No,0,No,0,Yes,Z:\bcbcbcbc\ca-ES\LocalMediaManager\NFO\KAWD-693\KAWD-693.nfo,Yes,Yes,25,25,0,Poster;Preview,,Complete,Yes,complete,11537,upgrade_20260724_002606,Completed,MetaTube;JavBus,MDC-NG,2026-07-23T14:17:27.8270552+00:00,Failed,Success,Success,Yes,Yes,Fanart;Poster;Preview;标签,[MetaTube] 返回：有 12 项：标题、番号、日期、时长、导演、厂商、标签(7)、演员(1)、Poster、Fanart、Preview(10)、简介；空：系列、Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回) | [JavBus] 返回：有 10 项：标题、番号、日期、时长、导演、厂商、标签(9)、演员(1)、Poster、Preview(10)；空：系列、Fanart、Screenshot、简介、评分、NFO(由同步流程生成，Provider 不直接返回),[MetaTube] 补全：有 12 项：标题、番号、日期、时长、导演、厂商、标签(7)、演员(1)、Poster、Fanart、Preview(10)、简介；空：系列、Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回) | [JavBus] 补全：标签(+8)、Preview(+10)、演员头像(+1),[Metadata Merge] 最终字段：有 12 项：标题、番号、日期、时长、导演、厂商、标签(15)、演员(1)、Poster、Fanart、Preview(20)、简介；空：系列、Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回),,OK,按当前 Standard 数据库规则完整,,物理文件状态另列,无需重新同步
2026-07-24T21:10:52+08:00,11,5,电影,Standard,Z:\bcbcbcbc\ca-ES\data\已命名电影\JUL-054+四星+紧身裤.mp4,JUL-054+四星+紧身裤.mp4,Present,JUL-054,AuditReevaluation;NotPersisted,JUL-054,JUL-054,StandardSeparated,0.97,,,Match,Yes,Yes,Yes,2,Yes,1,Yes,Yes,1,Yes,2,Yes,21,Yes,3,3,Yes,2,Yes,2,Yes,2,Yes,2,Yes,30,Yes,30,No,0,No,0,Yes,Z:\bcbcbcbc\ca-ES\LocalMediaManager\NFO\JUL-054\JUL-054.nfo,Yes,Yes,34,34,0,Fanart;Poster,,Complete,Yes,complete,11594,upgrade_20260724_002606,Completed,MetaTube;JavBus,MDC-NG,2026-07-23T14:21:53.2581753+00:00,Failed,Success,Success,Yes,Yes,Fanart;Poster;Preview;标签,[MetaTube] 返回：有 13 项：标题、番号、日期、时长、导演、厂商、系列、标签(9)、演员(1)、Poster、Fanart、Preview(10)、简介；空：Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回) | [JavBus] 返回：有 11 项：标题、番号、日期、时长、导演、厂商、系列、标签(11)、演员(1)、Poster、Preview(10)；空：Fanart、Screenshot、简介、评分、NFO(由同步流程生成，Provider 不直接返回),[MetaTube] 补全：有 13 项：标题、番号、日期、时长、导演、厂商、系列、标签(9)、演员(1)、Poster、Fanart、Preview(10)、简介；空：Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回) | [JavBus] 补全：标签(+11)、演员(+1)、Preview(+10)、演员头像(+1),[Metadata Merge] 最终字段：有 13 项：标题、番号、日期、时长、导演、厂商、系列、标签(20)、演员(2)、Poster、Fanart、Preview(20)、简介；空：Screenshot、评分、NFO(由同步流程生成，Provider 不直接返回),,OK,按当前 Standard 数据库规则完整,,物理文件状态另列,无需重新同步
